ID,center_x,center_y,jinkou
0,1440.0,1316.0,63
1,1440.0,1315.5,2
2,1440.5,1315.5,394
3,1440.5,1315.0,98
4,1441.0,1315.5,314
5,1441.5,1315.5,4
6,1441.0,1315.0,423
7,1441.5,1315.0,185
8,1440.0,1314.5,43
9,1440.0,1314.0,24
10,1441.0,1314.5,80
11,1441.5,1314.5,274
12,1441.0,1314.0,5
13,1441.5,1314.0,151
14,1442.0,1314.0,119
15,1440.0,1313.5,2
16,1441.0,1313.5,9
17,1441.5,1313.5,34
18,1442.0,1313.5,175
19,1442.5,1313.5,112
20,1443.0,1313.5,26
21,1443.0,1313.0,128
22,1443.5,1313.0,110
23,1444.0,1313.0,6
24,1444.5,1313.0,4
25,1445.5,1313.0,2
26,1440.5,1312.5,4
27,1440.0,1312.0,21
28,1441.0,1312.5,3
29,1443.5,1312.5,37
30,1443.5,1312.0,11
31,1444.0,1312.5,125
32,1444.5,1312.5,608
33,1444.0,1312.0,53
34,1444.5,1312.0,22
35,1445.0,1312.5,344
36,1445.5,1312.5,212
37,1445.0,1312.0,53
38,1445.5,1312.0,19
39,1446.0,1312.0,140
40,1443.0,1311.5,5
41,1443.5,1311.5,64
42,1443.0,1311.0,7
43,1443.5,1311.0,24
44,1444.0,1311.5,17
45,1444.5,1311.0,37
46,1445.0,1311.5,26
47,1445.5,1311.5,17
48,1445.0,1311.0,8
49,1446.0,1311.5,41
50,1446.5,1311.5,21
51,1446.5,1311.0,199
52,1447.0,1311.0,24
53,1440.0,1310.0,6
54,1440.5,1310.0,9
55,1443.5,1310.5,26
56,1443.0,1310.0,2
57,1443.5,1310.0,19
58,1444.0,1310.5,4
59,1447.0,1310.5,7
60,1447.5,1310.5,142
61,1447.5,1310.0,509
62,1448.0,1310.5,214
63,1448.0,1310.0,2
64,1440.0,1309.5,4
65,1440.5,1309.5,23
66,1440.0,1309.0,8
67,1440.5,1309.0,15
68,1441.0,1309.5,17
69,1441.5,1309.5,15
70,1442.0,1309.5,26
71,1442.5,1309.5,24
72,1442.0,1309.0,49
73,1442.5,1309.0,20
74,1443.0,1309.0,38
75,1444.0,1309.0,20
76,1444.5,1309.0,28
77,1445.0,1309.5,3
78,1445.5,1309.5,3
79,1445.0,1309.0,116
80,1445.5,1309.0,68
81,1446.0,1309.5,32
82,1446.5,1309.5,21
83,1446.0,1309.0,72
84,1446.5,1309.0,128
85,1447.5,1309.5,118
86,1447.0,1309.0,312
87,1447.5,1309.0,76
88,1448.0,1309.0,54
89,1440.5,1308.5,20
90,1440.0,1308.0,5
91,1440.5,1308.0,18
92,1441.5,1308.5,12
93,1441.0,1308.0,21
94,1442.0,1308.5,4
95,1442.0,1308.0,10
96,1442.5,1308.0,9
97,1443.0,1308.5,19
98,1443.0,1308.0,26
99,1443.5,1308.0,20
100,1444.0,1308.5,128
101,1444.5,1308.5,47
102,1444.0,1308.0,45
103,1444.5,1308.0,4
104,1445.0,1308.5,73
105,1445.5,1308.5,16
106,1445.0,1308.0,49
107,1445.5,1308.0,50
108,1446.0,1308.5,3
109,1446.5,1308.5,156
110,1446.0,1308.0,27
111,1446.5,1308.0,41
112,1447.0,1308.5,1
113,1447.5,1308.5,78
114,1447.0,1308.0,148
115,1447.5,1308.0,363
116,1448.0,1308.5,808
117,1448.5,1308.5,54
118,1448.0,1308.0,739
119,1448.5,1308.0,5
120,1440.5,1307.5,16
121,1440.0,1307.0,6
122,1440.5,1307.0,17
123,1441.0,1307.5,24
124,1441.5,1307.5,17
125,1441.0,1307.0,7
126,1441.5,1307.0,9
127,1442.0,1307.5,15
128,1442.5,1307.5,3
129,1442.0,1307.0,3
130,1443.0,1307.5,11
131,1443.5,1307.5,8
132,1443.0,1307.0,9
133,1443.5,1307.0,9
134,1444.0,1307.5,26
135,1444.0,1307.0,3
136,1445.5,1307.0,58
137,1446.0,1307.5,25
138,1446.5,1307.5,51
139,1446.0,1307.0,116
140,1446.5,1307.0,423
141,1447.0,1307.5,147
142,1447.5,1307.5,245
143,1447.0,1307.0,29
144,1447.5,1307.0,325
145,1448.0,1307.5,939
146,1448.5,1307.5,7
147,1448.0,1307.0,987
148,1448.5,1307.0,110
149,1440.0,1306.5,12
150,1440.5,1306.5,10
151,1440.0,1306.0,3
152,1440.5,1306.0,8
153,1442.0,1306.0,2
154,1443.0,1306.0,13
155,1444.5,1306.5,61
156,1444.0,1306.0,2
157,1445.0,1306.5,32
158,1445.5,1306.5,101
159,1445.0,1306.0,86
160,1445.5,1306.0,36
161,1446.0,1306.5,30
162,1446.5,1306.5,176
163,1446.0,1306.0,102
164,1446.5,1306.0,49
165,1447.0,1306.5,211
166,1447.5,1306.5,459
167,1447.0,1306.0,103
168,1447.5,1306.0,245
169,1448.0,1306.5,336
170,1448.5,1306.5,366
171,1448.0,1306.0,32
172,1448.5,1306.0,763
173,1449.0,1306.5,41
174,1449.0,1306.0,243
175,1440.5,1305.5,14
176,1440.0,1305.0,33
177,1440.5,1305.0,25
178,1441.0,1305.5,8
179,1441.5,1305.5,10
180,1441.0,1305.0,38
181,1441.5,1305.0,55
182,1442.0,1305.5,8
183,1442.5,1305.5,41
184,1442.0,1305.0,46
185,1442.5,1305.0,54
186,1443.0,1305.5,49
187,1443.5,1305.5,25
188,1443.0,1305.0,101
189,1443.5,1305.0,29
190,1444.0,1305.5,52
191,1444.5,1305.5,49
192,1444.0,1305.0,27
193,1444.5,1305.0,77
194,1445.0,1305.5,60
195,1445.5,1305.5,171
196,1445.0,1305.0,271
197,1445.5,1305.0,111
198,1446.0,1305.5,56
199,1446.5,1305.5,206
200,1446.0,1305.0,67
201,1446.5,1305.0,247
202,1447.0,1305.5,244
203,1447.5,1305.5,156
204,1447.0,1305.0,268
205,1447.5,1305.0,286
206,1448.0,1305.5,72
207,1448.5,1305.5,856
208,1448.0,1305.0,236
209,1448.5,1305.0,605
210,1449.0,1305.5,604
211,1449.5,1305.5,526
212,1449.0,1305.0,537
213,1449.5,1305.0,634
214,1440.0,1304.5,30
215,1440.5,1304.5,15
216,1440.0,1304.0,59
217,1440.5,1304.0,127
218,1441.0,1304.5,10
219,1441.5,1304.5,73
220,1441.0,1304.0,101
221,1441.5,1304.0,114
222,1442.0,1304.5,57
223,1442.5,1304.5,139
224,1442.0,1304.0,66
225,1442.5,1304.0,166
226,1443.0,1304.5,86
227,1443.5,1304.5,84
228,1443.0,1304.0,150
229,1443.5,1304.0,14
230,1444.0,1304.5,138
231,1444.5,1304.5,147
232,1444.0,1304.0,108
233,1444.5,1304.0,38
234,1445.0,1304.5,117
235,1445.5,1304.5,111
236,1445.0,1304.0,78
237,1445.5,1304.0,50
238,1446.0,1304.5,64
239,1446.5,1304.5,37
240,1446.0,1304.0,17
241,1446.5,1304.0,14
242,1447.0,1304.5,167
243,1447.5,1304.5,143
244,1447.0,1304.0,33
245,1447.5,1304.0,22
246,1448.0,1304.5,61
247,1448.5,1304.5,32
248,1448.0,1304.0,161
249,1448.5,1304.0,50
250,1449.0,1304.5,121
251,1449.5,1304.5,105
252,1449.0,1304.0,40
253,1440.0,1303.5,211
254,1440.5,1303.5,36
255,1440.0,1303.0,54
256,1440.5,1303.0,33
257,1441.0,1303.5,38
258,1441.5,1303.5,17
259,1441.0,1303.0,46
260,1441.5,1303.0,69
261,1442.0,1303.5,12
262,1442.5,1303.5,57
263,1442.0,1303.0,21
264,1442.5,1303.0,33
265,1443.0,1303.5,79
266,1443.5,1303.5,55
267,1443.0,1303.0,42
268,1443.5,1303.0,17
269,1444.0,1303.5,57
270,1444.5,1303.5,48
271,1444.0,1303.0,16
272,1444.5,1303.0,5
273,1445.0,1303.5,38
274,1445.5,1303.5,48
275,1445.0,1303.0,7
276,1445.5,1303.0,31
277,1446.0,1303.5,56
278,1446.5,1303.5,11
279,1447.0,1303.5,13
280,1447.5,1303.5,101
281,1447.5,1303.0,45
282,1448.0,1303.5,23
283,1448.0,1303.0,17
284,1440.0,1302.5,24
285,1440.5,1302.5,16
286,1440.0,1302.0,14
287,1440.5,1302.0,7
288,1441.0,1302.5,21
289,1441.5,1302.5,20
290,1441.0,1302.0,5
291,1442.0,1302.5,25
292,1442.5,1302.5,4
293,1444.0,1302.5,25
294,1445.5,1302.5,20
295,1445.5,1302.0,42
296,1448.0,1302.5,12
297,1445.5,1301.5,24
298,1448.5,1301.5,1
299,1455.5,1306.0,7
300,1457.0,1306.0,4
301,1450.0,1305.5,20
302,1450.5,1305.5,2
303,1450.0,1305.0,689
304,1450.5,1305.0,195
