ID,center_x,center_y,jinkou
0,1365.0,1279.0,6
1,1365.5,1279.0,82
2,1366.5,1279.0,1
3,1367.5,1279.5,39
4,1367.0,1279.0,42
5,1367.5,1279.0,85
6,1368.0,1279.5,232
7,1368.5,1279.5,317
8,1368.0,1279.0,208
9,1368.5,1279.0,112
10,1369.0,1279.5,1033
11,1369.5,1279.5,1309
12,1369.0,1279.0,394
13,1369.5,1279.0,977
14,1365.5,1278.5,255
15,1365.5,1278.0,45
16,1366.0,1278.5,216
17,1366.0,1278.0,207
18,1366.5,1278.0,39
19,1367.5,1278.5,56
20,1367.0,1278.0,9
21,1367.5,1278.0,92
22,1368.0,1278.5,449
23,1368.5,1278.5,241
24,1368.0,1278.0,199
25,1368.5,1278.0,464
26,1369.0,1278.5,358
27,1369.5,1278.5,37
28,1369.0,1278.0,165
29,1369.5,1278.0,58
30,1360.0,1277.5,62
31,1360.0,1277.0,266
32,1360.5,1277.0,52
33,1361.5,1277.5,5
34,1362.0,1277.5,2
35,1362.0,1277.0,20
36,1365.0,1277.5,152
37,1365.5,1277.5,265
38,1365.0,1277.0,124
39,1365.5,1277.0,31
40,1366.0,1277.5,58
41,1366.5,1277.5,196
42,1366.0,1277.0,28
43,1366.5,1277.0,97
44,1367.0,1277.5,420
45,1367.5,1277.5,785
46,1367.0,1277.0,527
47,1367.5,1277.0,386
48,1368.0,1277.5,57
49,1368.5,1277.5,29
50,1368.0,1277.0,886
51,1368.5,1277.0,558
52,1369.0,1277.5,6
53,1369.5,1277.5,280
54,1369.0,1277.0,93
55,1360.0,1276.5,28
56,1360.5,1276.5,3
57,1361.0,1276.5,85
58,1361.0,1276.0,3
59,1362.5,1276.5,12
60,1362.5,1276.0,115
61,1363.0,1276.5,1
62,1363.0,1276.0,75
63,1364.0,1276.5,30
64,1364.5,1276.5,6
65,1364.0,1276.0,3
66,1365.0,1276.5,53
67,1365.5,1276.5,517
68,1365.5,1276.0,25
69,1366.0,1276.5,955
70,1366.5,1276.5,999
71,1366.0,1276.0,44
72,1366.5,1276.0,128
73,1367.0,1276.5,439
74,1367.5,1276.5,43
75,1367.0,1276.0,213
76,1367.5,1276.0,597
77,1368.0,1276.5,518
78,1368.5,1276.5,179
79,1368.0,1276.0,194
80,1361.5,1275.0,5
81,1362.5,1275.5,89
82,1362.0,1275.0,83
83,1362.5,1275.0,73
84,1363.0,1275.5,34
85,1363.0,1275.0,31
86,1363.5,1275.0,3
87,1364.0,1275.5,6
88,1364.5,1275.5,2
89,1364.5,1275.0,26
90,1365.0,1275.5,55
91,1365.5,1275.5,4
92,1365.0,1275.0,28
93,1366.0,1275.5,6
94,1367.0,1275.5,9
95,1367.5,1275.5,117
96,1369.0,1275.0,24
97,1369.5,1275.0,16
98,1361.0,1274.0,14
99,1361.5,1274.0,1
100,1362.0,1274.5,30
101,1362.5,1274.5,113
102,1362.5,1274.0,44
103,1364.0,1274.5,43
104,1364.5,1274.5,6
105,1364.0,1274.0,19
106,1365.0,1274.5,2
107,1365.0,1274.0,11
108,1368.5,1274.5,8
109,1369.0,1274.5,31
110,1369.0,1274.0,1
111,1362.5,1273.5,17
112,1362.5,1273.0,23
113,1363.0,1273.0,79
114,1365.0,1273.5,6
115,1365.5,1273.0,8
116,1369.5,1273.0,166
117,1363.0,1272.5,26
118,1363.0,1272.0,32
119,1363.5,1272.0,25
120,1366.0,1272.5,4
121,1366.5,1272.0,1
122,1369.5,1272.5,28
123,1363.5,1271.5,70
124,1360.5,1270.5,6
125,1363.0,1270.0,56
126,1370.0,1279.5,906
127,1370.5,1279.5,154
128,1370.0,1279.0,1345
129,1370.5,1279.0,272
130,1371.0,1279.5,1147
131,1371.5,1279.5,1399
132,1371.0,1279.0,1137
133,1371.5,1279.0,1590
134,1372.0,1279.5,1523
135,1372.5,1279.5,343
136,1372.0,1279.0,689
137,1372.5,1279.0,218
138,1373.0,1279.5,52
139,1373.5,1279.5,16
140,1373.5,1279.0,11
141,1374.0,1279.5,12
142,1374.5,1279.5,125
143,1374.0,1279.0,117
144,1374.5,1279.0,18
145,1375.5,1279.5,48
146,1375.5,1279.0,51
147,1376.0,1279.5,59
148,1376.5,1279.5,91
149,1376.0,1279.0,41
150,1376.5,1279.0,69
151,1377.0,1279.5,60
152,1377.5,1279.5,62
153,1377.0,1279.0,8
154,1378.0,1279.5,271
155,1378.5,1279.5,301
156,1378.0,1279.0,200
157,1378.5,1279.0,851
158,1379.0,1279.5,15
159,1379.5,1279.5,81
160,1379.5,1279.0,97
161,1370.0,1278.5,385
162,1370.5,1278.5,737
163,1370.0,1278.0,638
164,1370.5,1278.0,1333
165,1371.0,1278.5,1092
166,1371.5,1278.5,1178
167,1371.0,1278.0,957
168,1371.5,1278.0,409
169,1372.0,1278.5,216
170,1372.5,1278.5,21
171,1372.0,1278.0,433
172,1372.5,1278.0,2
173,1373.0,1278.0,20
174,1373.5,1278.0,61
175,1374.0,1278.5,1
176,1374.5,1278.5,58
177,1375.0,1278.5,14
178,1375.5,1278.5,51
179,1376.0,1278.5,170
180,1376.5,1278.5,57
181,1376.5,1278.0,15
182,1377.5,1278.5,119
183,1377.0,1278.0,161
184,1378.0,1278.5,318
185,1378.5,1278.5,1477
186,1378.0,1278.0,291
187,1378.5,1278.0,685
188,1379.5,1278.5,29
189,1379.0,1278.0,25
190,1370.0,1277.5,277
191,1370.5,1277.5,83
192,1372.0,1277.5,444
193,1372.0,1277.0,21
194,1372.5,1277.0,11
195,1373.0,1277.5,9
196,1373.5,1277.5,117
197,1373.5,1277.0,1
198,1374.0,1277.5,3
199,1374.0,1277.0,147
200,1375.0,1277.0,79
201,1376.5,1277.5,82
202,1376.0,1277.0,57
203,1376.5,1277.0,216
204,1377.0,1277.5,60
205,1377.5,1277.5,295
206,1377.5,1277.0,829
207,1378.0,1277.5,2054
208,1378.5,1277.5,66
209,1378.0,1277.0,2205
210,1378.5,1277.0,453
211,1379.0,1277.5,4
212,1379.5,1277.5,264
213,1379.5,1277.0,41
214,1372.5,1276.5,3
215,1372.0,1276.0,148
216,1372.5,1276.0,281
217,1373.0,1276.0,6
218,1373.5,1276.0,206
219,1374.0,1276.5,101
220,1374.0,1276.0,378
221,1374.5,1276.0,569
222,1375.0,1276.5,94
223,1375.5,1276.5,17
224,1375.0,1276.0,662
225,1376.0,1276.5,88
226,1376.5,1276.5,39
227,1376.0,1276.0,75
228,1376.5,1276.0,520
229,1377.0,1276.5,27
230,1377.5,1276.5,210
231,1377.0,1276.0,1272
232,1377.5,1276.0,1778
233,1378.0,1276.5,862
234,1378.5,1276.5,1022
235,1378.0,1276.0,1870
236,1378.5,1276.0,1673
237,1379.0,1276.5,142
238,1379.5,1276.5,249
239,1379.0,1276.0,155
240,1379.5,1276.0,953
241,1372.0,1275.5,123
242,1372.5,1275.5,8
243,1372.0,1275.0,33
244,1373.5,1275.5,748
245,1373.0,1275.0,264
246,1373.5,1275.0,1151
247,1374.0,1275.5,2067
248,1374.5,1275.5,2470
249,1374.0,1275.0,2685
250,1374.5,1275.0,1967
251,1375.0,1275.5,2435
252,1375.5,1275.5,1749
253,1375.0,1275.0,2160
254,1375.5,1275.0,1115
255,1376.0,1275.5,1272
256,1376.5,1275.5,1461
257,1376.0,1275.0,958
258,1376.5,1275.0,1407
259,1377.0,1275.5,2169
260,1377.5,1275.5,1787
261,1377.0,1275.0,1854
262,1377.5,1275.0,1486
263,1378.0,1275.5,1461
264,1378.5,1275.5,1833
265,1378.0,1275.0,2505
266,1378.5,1275.0,1272
267,1379.0,1275.5,533
268,1379.5,1275.5,388
269,1379.5,1275.0,3
270,1370.5,1274.5,13
271,1371.0,1274.0,81
272,1372.0,1274.5,76
273,1372.5,1274.5,55
274,1372.0,1274.0,72
275,1372.5,1274.0,80
276,1373.0,1274.5,404
277,1373.5,1274.5,1604
278,1373.0,1274.0,168
279,1373.5,1274.0,528
280,1374.0,1274.5,2172
281,1374.5,1274.5,1941
282,1374.0,1274.0,2493
283,1374.5,1274.0,1799
284,1375.0,1274.5,2130
285,1375.5,1274.5,176
286,1375.0,1274.0,217
287,1375.5,1274.0,2
288,1376.0,1274.5,1278
289,1376.5,1274.5,1305
290,1376.0,1274.0,443
291,1376.5,1274.0,1092
292,1377.0,1274.5,1458
293,1377.5,1274.5,1925
294,1377.0,1274.0,1075
295,1377.5,1274.0,1097
296,1378.0,1274.5,1881
297,1378.5,1274.5,1432
298,1378.0,1274.0,1251
299,1378.5,1274.0,1360
300,1379.0,1274.5,442
301,1379.5,1274.5,135
302,1379.0,1274.0,1472
303,1379.5,1274.0,752
304,1370.0,1273.5,47
305,1370.5,1273.5,39
306,1370.0,1273.0,64
307,1370.5,1273.0,422
308,1371.0,1273.5,48
309,1371.0,1273.0,8
310,1372.0,1273.5,30
311,1372.5,1273.5,112
312,1372.0,1273.0,2
313,1372.5,1273.0,10
314,1373.0,1273.5,105
315,1373.5,1273.5,503
316,1373.0,1273.0,39
317,1373.5,1273.0,604
318,1374.0,1273.5,1765
319,1374.5,1273.5,1091
320,1374.0,1273.0,1094
321,1374.5,1273.0,1805
322,1375.0,1273.5,58
323,1375.5,1273.5,1104
324,1375.0,1273.0,1688
325,1375.5,1273.0,1593
326,1376.0,1273.5,28
327,1376.5,1273.5,69
328,1376.0,1273.0,132
329,1376.5,1273.0,1372
330,1377.0,1273.5,1839
331,1377.5,1273.5,1575
332,1377.0,1273.0,1581
333,1377.5,1273.0,1212
334,1378.0,1273.5,129
335,1378.5,1273.5,482
336,1378.0,1273.0,104
337,1378.5,1273.0,538
338,1379.0,1273.5,730
339,1379.5,1273.5,301
340,1379.0,1273.0,49
341,1379.5,1273.0,6
342,1370.0,1272.5,28
343,1370.5,1272.5,228
344,1370.5,1272.0,30
345,1371.0,1272.5,175
346,1371.0,1272.0,152
347,1372.0,1272.0,8
348,1372.5,1272.0,39
349,1373.0,1272.5,100
350,1373.5,1272.5,108
351,1373.0,1272.0,158
352,1373.5,1272.0,283
353,1374.0,1272.5,379
354,1374.5,1272.5,1493
355,1374.0,1272.0,264
356,1374.5,1272.0,490
357,1375.0,1272.5,1097
358,1375.5,1272.5,800
359,1375.0,1272.0,228
360,1375.5,1272.0,445
361,1376.0,1272.5,1197
362,1376.5,1272.5,606
363,1376.0,1272.0,180
364,1376.5,1272.0,114
365,1377.0,1272.5,199
366,1377.5,1272.5,712
367,1377.0,1272.0,124
368,1377.5,1272.0,89
369,1378.0,1272.5,197
370,1378.5,1272.5,527
371,1378.0,1272.0,191
372,1378.5,1272.0,356
373,1379.0,1272.5,108
374,1379.0,1272.0,12
375,1379.5,1272.0,7
376,1370.5,1271.5,132
377,1370.5,1271.0,27
378,1371.0,1271.5,252
379,1371.5,1271.5,24
380,1371.0,1271.0,14
381,1372.5,1271.5,87
382,1372.5,1271.0,230
383,1373.0,1271.5,31
384,1373.5,1271.5,94
385,1373.0,1271.0,131
386,1373.5,1271.0,2
387,1374.0,1271.5,119
388,1374.5,1271.5,397
389,1374.0,1271.0,61
390,1374.5,1271.0,77
391,1375.0,1271.5,414
392,1375.5,1271.5,107
393,1375.0,1271.0,132
394,1375.5,1271.0,209
395,1378.0,1271.5,22
396,1378.5,1271.5,213
397,1378.0,1271.0,62
398,1378.5,1271.0,123
399,1379.0,1271.5,9
400,1379.0,1271.0,21
401,1370.5,1270.5,2
402,1370.5,1270.0,20
403,1373.0,1270.5,26
404,1373.0,1270.0,8
405,1374.0,1270.5,25
406,1375.0,1270.5,208
407,1375.5,1270.5,103
408,1375.0,1270.0,69
409,1375.5,1270.0,16
410,1376.0,1270.0,8
411,1378.0,1270.5,177
412,1378.5,1270.5,24
413,1378.0,1270.0,179
414,1380.0,1279.0,65
415,1380.5,1279.0,71
416,1381.5,1279.5,16
417,1381.0,1279.0,22
418,1381.5,1279.0,102
419,1382.0,1279.0,22
420,1382.5,1279.0,11
421,1383.0,1279.5,104
422,1383.5,1279.5,303
423,1383.0,1279.0,366
424,1383.5,1279.0,1209
425,1384.0,1279.5,2254
426,1384.5,1279.5,2564
427,1384.0,1279.0,1158
428,1384.5,1279.0,1873
429,1385.0,1279.5,2228
430,1385.5,1279.5,2101
431,1385.0,1279.0,2762
432,1385.5,1279.0,1557
433,1386.0,1279.5,1615
434,1386.5,1279.5,2722
435,1386.0,1279.0,2850
436,1386.5,1279.0,2601
437,1387.0,1279.5,2308
438,1387.5,1279.5,658
439,1387.0,1279.0,92
440,1387.5,1279.0,460
441,1388.0,1279.5,2316
442,1388.5,1279.5,1929
443,1388.0,1279.0,1541
444,1388.5,1279.0,1
445,1389.0,1279.5,54
446,1389.5,1279.5,126
447,1389.5,1279.0,827
448,1380.0,1278.5,186
449,1380.5,1278.5,14
450,1380.0,1278.0,92
451,1380.5,1278.0,225
452,1381.0,1278.5,98
453,1381.5,1278.5,73
454,1381.0,1278.0,363
455,1381.5,1278.0,414
456,1382.0,1278.5,126
457,1382.5,1278.5,118
458,1382.0,1278.0,79
459,1382.5,1278.0,181
460,1383.0,1278.5,294
461,1383.5,1278.5,1202
462,1383.0,1278.0,865
463,1383.5,1278.0,1738
464,1384.0,1278.5,1624
465,1384.5,1278.5,1422
466,1384.0,1278.0,1420
467,1384.5,1278.0,163
468,1385.0,1278.5,3021
469,1385.5,1278.5,1931
470,1385.0,1278.0,2036
471,1385.5,1278.0,2265
472,1386.0,1278.5,2937
473,1386.5,1278.5,2864
474,1386.0,1278.0,3077
475,1386.5,1278.0,2636
476,1387.0,1278.5,609
477,1387.5,1278.5,1295
478,1387.0,1278.0,299
479,1387.5,1278.0,1287
480,1388.0,1278.5,2466
481,1388.5,1278.5,797
482,1388.0,1278.0,2488
483,1388.5,1278.0,1373
484,1389.5,1278.5,1150
485,1389.0,1278.0,69
486,1380.0,1277.5,2
487,1380.5,1277.5,169
488,1380.0,1277.0,401
489,1380.5,1277.0,325
490,1381.0,1277.5,299
491,1381.5,1277.5,292
492,1381.0,1277.0,241
493,1381.5,1277.0,189
494,1382.0,1277.5,29
495,1382.5,1277.5,185
496,1382.0,1277.0,103
497,1382.5,1277.0,547
498,1383.0,1277.5,359
499,1383.5,1277.5,1204
500,1383.0,1277.0,694
501,1383.5,1277.0,2196
502,1384.0,1277.5,710
503,1384.5,1277.5,115
504,1384.0,1277.0,1134
505,1384.5,1277.0,275
506,1385.0,1277.5,784
507,1385.5,1277.5,1847
508,1385.0,1277.0,579
509,1385.5,1277.0,1793
510,1386.0,1277.5,1263
511,1386.5,1277.5,3369
512,1386.0,1277.0,1344
513,1386.5,1277.0,800
514,1387.0,1277.5,2293
515,1387.5,1277.5,1424
516,1387.0,1277.0,1085
517,1387.5,1277.0,1694
518,1388.0,1277.5,2101
519,1388.5,1277.5,1559
520,1388.0,1277.0,2666
521,1388.5,1277.0,1804
522,1389.0,1277.5,213
523,1389.0,1277.0,932
524,1389.5,1277.0,2
525,1380.0,1276.5,513
526,1380.5,1276.5,1564
527,1380.0,1276.0,1579
528,1380.5,1276.0,1365
529,1381.0,1276.5,2836
530,1381.5,1276.5,646
531,1381.0,1276.0,2249
532,1381.5,1276.0,975
533,1382.0,1276.5,390
534,1382.5,1276.5,646
535,1382.0,1276.0,689
536,1382.5,1276.0,566
537,1383.0,1276.5,1082
538,1383.5,1276.5,1408
539,1383.0,1276.0,55
540,1383.5,1276.0,393
541,1384.0,1276.5,463
542,1384.5,1276.5,86
543,1384.0,1276.0,2
544,1384.5,1276.0,103
545,1385.0,1276.5,70
546,1385.5,1276.5,1051
547,1385.0,1276.0,254
548,1385.5,1276.0,48
549,1386.0,1276.5,828
550,1386.5,1276.5,1116
551,1386.0,1276.0,8
552,1387.0,1276.5,34
553,1387.5,1276.5,699
554,1387.0,1276.0,393
555,1387.5,1276.0,2128
556,1388.0,1276.5,1951
557,1388.5,1276.5,1745
558,1388.0,1276.0,2177
559,1388.5,1276.0,1683
560,1389.0,1276.5,4
561,1389.5,1276.5,151
562,1389.0,1276.0,114
563,1389.5,1276.0,314
564,1380.0,1275.5,1398
565,1380.5,1275.5,1749
566,1380.0,1275.0,195
567,1380.5,1275.0,841
568,1381.0,1275.5,2695
569,1381.5,1275.5,2443
570,1381.0,1275.0,2070
571,1381.5,1275.0,2116
572,1382.0,1275.5,1637
573,1382.5,1275.5,446
574,1382.0,1275.0,1364
575,1382.5,1275.0,397
576,1383.0,1275.5,153
577,1383.0,1275.0,11
578,1383.5,1275.0,65
579,1384.5,1275.5,196
580,1384.0,1275.0,878
581,1384.5,1275.0,1497
582,1385.0,1275.5,467
583,1385.5,1275.5,5
