ID,center_x,center_y,jinkou
0,1046.5,1431.5,4
1,1046.5,1431.0,47
2,1047.0,1431.5,186
3,1047.0,1431.0,319
4,1047.5,1431.0,33
5,1048.0,1431.0,197
6,1048.5,1431.0,1
7,1047.0,1430.5,230
8,1047.5,1430.5,903
9,1047.5,1430.0,474
10,1048.0,1430.5,635
11,1048.5,1430.5,552
12,1048.0,1430.0,300
13,1048.5,1430.0,492
14,1049.0,1430.5,624
15,1049.5,1430.5,132
16,1049.0,1430.0,205
17,1049.5,1430.0,488
18,1051.0,1439.5,42
19,1051.5,1439.5,216
20,1051.0,1439.0,43
21,1051.5,1439.0,70
22,1052.0,1439.5,9
23,1052.0,1439.0,43
24,1052.5,1439.0,8
25,1055.0,1439.5,77
26,1055.0,1439.0,153
27,1051.5,1438.0,36
28,1052.0,1438.5,249
29,1052.5,1438.5,129
30,1052.5,1438.0,5
31,1053.0,1438.5,135
32,1053.5,1438.5,47
33,1053.0,1438.0,142
34,1053.5,1438.0,330
35,1054.0,1438.5,222
36,1054.5,1438.5,18
37,1054.0,1438.0,293
38,1054.5,1438.0,89
39,1055.0,1438.5,99
40,1055.0,1438.0,29
41,1051.5,1437.5,2
42,1052.0,1437.5,25
43,1052.5,1437.0,15
44,1053.0,1437.5,106
45,1053.5,1437.5,248
46,1053.0,1437.0,43
47,1053.5,1437.0,354
48,1054.0,1437.5,136
49,1054.5,1437.5,134
50,1054.0,1437.0,678
51,1054.5,1437.0,98
52,1055.0,1437.5,127
53,1056.0,1437.0,24
54,1056.5,1437.0,58
55,1059.5,1437.0,21
56,1052.5,1436.5,2
57,1053.0,1436.5,169
58,1053.5,1436.5,767
59,1053.5,1436.0,289
60,1054.0,1436.5,934
61,1054.5,1436.5,228
62,1054.0,1436.0,1028
63,1054.5,1436.0,533
64,1055.0,1436.5,6
65,1055.5,1436.5,4
66,1055.0,1436.0,318
67,1055.5,1436.0,251
68,1056.0,1436.5,185
69,1056.5,1436.5,102
70,1056.0,1436.0,38
71,1056.5,1436.0,55
72,1057.0,1436.5,41
73,1057.5,1436.5,11
74,1053.5,1435.5,1314
75,1053.0,1435.0,211
76,1053.5,1435.0,210
77,1054.0,1435.5,1552
78,1054.5,1435.5,993
79,1054.0,1435.0,819
80,1054.5,1435.0,747
81,1055.0,1435.5,888
82,1055.5,1435.5,72
83,1055.0,1435.0,351
84,1055.5,1435.0,102
85,1058.5,1435.0,14
86,1051.5,1434.0,12
87,1052.5,1434.5,7
88,1053.0,1434.5,421
89,1053.5,1434.5,262
90,1053.5,1434.0,3
91,1054.0,1434.5,145
92,1054.5,1434.5,306
93,1054.0,1434.0,200
94,1054.5,1434.0,155
95,1055.0,1434.5,226
96,1055.5,1434.5,210
97,1055.0,1434.0,271
98,1055.5,1434.0,9
